,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-26 04:00:00,-8.934,0.0,0.0,0.0,8.934,0.0,0.0,-8.934
2017-02-26 04:30:00,-8.559,0.0,0.0,0.0,8.559,0.0,0.0,-8.559
2017-02-26 05:00:00,-8.17,0.0,0.0,0.0,8.17,0.0,0.0,-8.17
2017-02-26 05:30:00,-8.845,0.0,0.0,0.0,8.845,0.0,0.0,-8.845
2017-02-26 06:00:00,-8.33427546,0.0,0.0,0.0,8.33427546,0.02742404,0.0,-8.33427546
2017-02-26 06:30:00,-5.368511572,0.0,0.509992285333,0.0,5.368511572,1.14994315867,0.0,-5.368511572
2017-02-26 07:00:00,-0.369001992,0.0,2.487999004,0.0,0.369001992,2.886888188,0.0,-0.369001992
2017-02-26 07:30:00,3.745016068,-3.745016068,3.745016068,0.0,0.0,4.846221032,0.0,0.0
2017-02-26 08:00:00,5.493797864,-5.493797864,5.493797864,8.881784197e-16,0.0,6.588977936,0.0,0.0
2017-02-26 08:30:00,8.517821568,-0.85357420732,8.517821568,0.0,0.0,5.814828032,0.0,7.66424736068
2017-02-26 09:00:00,11.993472192,-0.0085357420732,11.993472192,0.0,0.0,6.355150208,0.0,11.9849364499
2017-02-26 09:30:00,15.63462432,-8.53574207316e-05,15.63462432,0.0,0.0,4.66187968,0.0,15.6345389626
2017-02-26 10:00:00,15.800186868,-8.53574206872e-07,15.800186868,0.0,0.0,5.568060232,0.0,15.8001860144
2017-02-26 10:30:00,19.697279416,-8.53574277926e-09,19.697279416,0.0,0.0,5.257460784,0.0,19.6972794075
2017-02-26 11:00:00,19.7867639,-8.53574988469e-11,19.7867639,0.0,0.0,7.0511286,0.0,19.7867638999
2017-02-26 11:30:00,18.893153348,-8.56203996591e-13,18.893153348,0.0,0.0,7.097099752,0.0,18.893153348
2017-02-26 12:00:00,17.772821436,-1.06581410364e-14,17.772821436,0.0,0.0,7.907050264,0.0,17.772821436
